Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of answer,Talk duration,Satisfaction rating
1,Agent 1,2025-04-19,09:07:48.578476,IT issue,Y,Y,88,7.29,4
2,Agent 2,2025-04-19,09:12:13.943876,IT issue,Y,Y,30,3.98,8
3,Agent 1,2025-04-19,09:15:45.629121,IT issue,Y,N,103,17.35,1
4,Agent 2,2025-04-19,09:30:04.360722,Management,Y,N,86,1.91,3
5,Agent 3,2025-04-19,09:31:10.961170,Management,Y,N,95,5.94,2
6,,2025-04-19,09:31:16.816598,Management,N,,,,
7,Agent 1,2025-04-19,09:37:07.963892,IT issue,Y,Y,31,0.9,8
8,Agent 1,2025-04-19,09:38:20.648493,Management,Y,N,83,0.88,2
9,Agent 2,2025-04-19,09:38:25.316014,IT issue,Y,Y,116,1.92,4
10,Agent 1,2025-04-19,09:46:32.052283,IT issue,Y,Y,53,0.81,10
11,Agent 1,2025-04-19,09:59:18.837628,Management,Y,Y,73,1.29,6
12,Agent 1,2025-04-19,10:11:32.840907,Management,Y,Y,84,2.6,6
13,Agent 2,2025-04-19,10:12:50.859639,Management,Y,Y,81,8.49,5
14,Agent 1,2025-04-19,10:20:23.541574,IT issue,Y,Y,19,6.5,6
15,Agent 3,2025-04-19,10:20:28.671346,Management,Y,N,55,1.81,2
16,Agent 2,2025-04-19,10:24:11.893385,Management,Y,Y,48,3.59,9
17,Agent 1,2025-04-19,10:37:06.383877,Management,Y,Y,69,8.59,6
18,Agent 2,2025-04-19,10:42:33.167375,IT issue,Y,Y,9,7.41,6
19,Agent 3,2025-04-19,10:45:38.064628,Management,Y,Y,90,1.34,5
20,Agent 1,2025-04-19,10:53:00.042571,IT issue,Y,N,60,0.29,2
21,Agent 1,2025-04-19,10:59:05.917566,Management,Y,Y,57,1.07,7
22,Agent 1,2025-04-19,11:19:56.221197,IT issue,Y,Y,34,0.62,8
23,Agent 1,2025-04-19,11:29:10.246256,Management,Y,Y,10,7.57,5
24,Agent 2,2025-04-19,11:32:11.104799,Management,Y,N,34,2.69,3
25,Agent 3,2025-04-19,11:32:18.615274,Management,Y,Y,70,1.72,6
26,,2025-04-19,11:32:35.752594,Management,N,,,,
27,Agent 1,2025-04-19,11:41:16.253922,Management,Y,Y,6,1.57,7
28,Agent 1,2025-04-19,11:43:18.021213,IT issue,Y,N,68,0.03,1
29,Agent 1,2025-04-19,11:45:00.106874,IT issue,Y,Y,65,3.99,4
30,Agent 2,2025-04-19,11:45:10.575715,Management,Y,Y,46,0.47,8
31,Agent 1,2025-04-19,11:50:28.025573,IT issue,Y,N,80,3.87,1
32,Agent 1,2025-04-19,11:56:25.713478,Management,Y,Y,14,3.1,9
33,Agent 2,2025-04-19,11:58:52.854099,IT issue,Y,Y,61,1.6,6
34,Agent 1,2025-04-19,12:00:28.548467,Management,Y,Y,20,0.9,8
35,Agent 1,2025-04-19,12:05:54.300011,IT issue,Y,Y,96,1.66,4
36,Agent 2,2025-04-19,12:07:15.432249,Management,Y,N,95,2.37,3
37,Agent 1,2025-04-19,12:11:48.033074,Management,Y,Y,30,6.14,4
38,Agent 2,2025-04-19,12:11:55.984196,IT issue,Y,Y,24,2.26,9
39,Agent 2,2025-04-19,12:14:14.640296,IT issue,Y,Y,98,13.43,4
40,Agent 3,2025-04-19,12:14:58.282889,Management,Y,Y,69,0.5,5
41,Agent 1,2025-04-19,12:23:08.773367,IT issue,Y,Y,37,5.14,10
42,Agent 3,2025-04-19,12:27:38.852755,Management,Y,Y,118,0.3,6
43,Agent 1,2025-04-19,12:41:22.775927,Management,Y,Y,44,4.34,10
44,Agent 1,2025-04-19,12:55:17.323994,Management,Y,Y,44,0.45,7
45,Agent 1,2025-04-19,12:56:24.358187,IT issue,Y,Y,111,2.57,4
46,Agent 2,2025-04-19,12:57:27.107520,Management,Y,N,78,10.79,2
47,Agent 1,2025-04-19,12:59:17.802797,IT issue,Y,Y,116,4.47,6
48,Agent 1,2025-04-19,13:07:37.435976,Management,Y,N,10,14.27,1
49,Agent 2,2025-04-19,13:08:15.795205,IT issue,Y,Y,35,16.34,6
50,Agent 1,2025-04-19,13:22:29.649722,Management,Y,Y,47,3.82,7
51,Agent 3,2025-04-19,13:22:51.593233,Management,Y,N,14,0.37,2
52,Agent 1,2025-04-19,13:27:10.874777,Management,Y,Y,96,1.95,6
53,Agent 2,2025-04-19,13:27:19.448351,IT issue,Y,Y,19,1.8,10
54,Agent 3,2025-04-19,13:27:28.586646,Management,Y,Y,58,1.06,8
55,Agent 1,2025-04-19,13:31:45.597231,Management,Y,N,98,1.29,2
56,Agent 1,2025-04-19,13:34:08.532591,IT issue,Y,Y,18,1.86,7
57,Agent 2,2025-04-19,13:34:59.745642,Management,Y,N,108,6.23,2
58,Agent 1,2025-04-19,13:39:29.829088,IT issue,Y,N,94,0.6,3
59,Agent 3,2025-04-19,13:39:47.138265,Management,Y,N,68,0.45,2
60,Agent 1,2025-04-19,13:40:58.618819,IT issue,Y,N,65,13.01,2
61,Agent 1,2025-04-19,14:01:08.620930,IT issue,Y,N,69,2.47,2
62,Agent 1,2025-04-19,14:07:17.241086,Management,Y,Y,105,4.0,4
63,Agent 2,2025-04-19,14:10:38.897984,Management,Y,Y,78,2.07,4
64,Agent 1,2025-04-19,14:17:06.286914,IT issue,Y,Y,49,3.16,9
65,Agent 1,2025-04-19,14:23:13.694846,IT issue,Y,Y,83,0.12,6
66,Agent 1,2025-04-19,14:29:01.671136,Management,Y,Y,63,0.49,4
67,Agent 1,2025-04-19,14:29:44.092227,Management,Y,Y,56,10.79,5
68,Agent 2,2025-04-19,14:29:53.164703,Management,Y,Y,117,4.2,4
69,Agent 1,2025-04-19,14:47:31.093329,IT issue,Y,N,20,5.78,2
70,Agent 1,2025-04-19,14:59:33.920553,IT issue,Y,Y,84,4.99,5
71,Agent 2,2025-04-19,15:00:19.653487,IT issue,Y,Y,85,0.28,6
72,Agent 2,2025-04-19,15:03:50.678009,Management,Y,Y,62,1.49,5
73,Agent 1,2025-04-19,15:11:23.880956,IT issue,Y,N,72,1.38,3
74,Agent 1,2025-04-19,15:15:07.221619,IT issue,Y,Y,108,4.41,5
75,Agent 2,2025-04-19,15:15:33.287132,Management,Y,N,95,4.53,3
76,Agent 3,2025-04-19,15:15:44.335958,IT issue,Y,Y,61,7.21,5
77,Agent 1,2025-04-19,15:21:18.080708,Management,Y,Y,13,1.48,9
78,Agent 2,2025-04-19,15:21:32.784838,IT issue,Y,Y,34,2.21,10
79,Agent 1,2025-04-19,15:24:29.993078,Management,Y,Y,60,5.61,6
80,Agent 1,2025-04-19,15:31:07.691180,IT issue,Y,N,92,7.3,1
81,Agent 2,2025-04-19,15:32:44.555599,Management,Y,Y,116,0.09,4
82,Agent 1,2025-04-19,15:48:02.981662,IT issue,Y,Y,117,4.75,6
83,Agent 2,2025-04-19,15:49:41.445380,IT issue,Y,Y,44,10.83,4
84,Agent 1,2025-04-19,15:55:37.593596,IT issue,Y,N,70,0.76,3
85,Agent 3,2025-04-19,15:55:43.034764,IT issue,Y,Y,40,3.34,8
86,Agent 1,2025-04-19,16:01:00.540257,IT issue,Y,Y,54,2.49,8
87,Agent 1,2025-04-19,16:05:41.641376,IT issue,Y,Y,99,2.07,4
