Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of answer,Talk duration,Satisfaction rating
1,Agent 1,2025-04-19,09:04:47.599722,IT issue,Y,Y,78,6.84,6
2,Agent 2,2025-04-19,09:07:14.084530,IT issue,Y,Y,72,4.87,6
3,Agent 3,2025-04-19,09:09:23.723680,Management,Y,Y,62,1.78,6
4,,2025-04-19,09:11:02.944426,IT issue,N,,,,
5,Agent 1,2025-04-19,09:12:47.236134,IT issue,Y,Y,37,3.29,10
6,Agent 2,2025-04-19,09:13:31.048930,Management,Y,Y,8,3.62,9
7,Agent 1,2025-04-19,09:20:16.230691,Management,Y,Y,102,6.63,4
8,Agent 2,2025-04-19,09:22:32.364198,IT issue,Y,Y,7,14.19,6
9,Agent 3,2025-04-19,09:22:59.591581,IT issue,Y,Y,116,4.54,6
10,,2025-04-19,09:23:03.575952,IT issue,N,,,,
11,Agent 1,2025-04-19,09:27:37.672419,Management,Y,Y,72,14.14,6
12,Agent 3,2025-04-19,09:29:34.525405,IT issue,Y,Y,70,3.11,5
13,,2025-04-19,09:30:11.349529,IT issue,N,,,,
14,Agent 3,2025-04-19,09:36:33.829728,Management,Y,N,32,2.52,3
15,Agent 2,2025-04-19,09:37:57.397868,IT issue,Y,Y,49,2.38,8
16,Agent 3,2025-04-19,09:39:41.205830,Management,Y,Y,64,3.21,5
17,Agent 1,2025-04-19,09:52:03.893736,IT issue,Y,Y,22,4.46,7
18,Agent 2,2025-04-19,09:53:46.569459,IT issue,Y,Y,105,4.74,5
19,Agent 1,2025-04-19,10:10:33.379803,Management,Y,Y,91,0.6,4
20,Agent 1,2025-04-19,10:43:31.751228,IT issue,Y,Y,118,2.26,6
21,Agent 1,2025-04-19,10:51:55.867226,Management,Y,Y,40,10.66,5
22,Agent 2,2025-04-19,10:52:20.059324,Management,Y,N,87,1.02,3
23,Agent 2,2025-04-19,10:53:28.595043,IT issue,Y,Y,49,11.28,4
24,Agent 3,2025-04-19,10:54:55.030658,Management,Y,Y,118,1.06,6
25,Agent 3,2025-04-19,10:57:34.366152,Management,Y,N,46,4.29,2
26,,2025-04-19,11:01:46.100299,Management,N,,,,
27,Agent 1,2025-04-19,11:09:38.834969,IT issue,Y,N,81,3.03,2
28,Agent 2,2025-04-19,11:10:09.653862,IT issue,Y,Y,110,2.95,5
29,Agent 1,2025-04-19,11:15:05.901075,IT issue,Y,N,103,21.58,1
30,Agent 2,2025-04-19,11:19:55.002168,Management,Y,N,54,4.45,2
31,Agent 2,2025-04-19,11:29:15.204264,Management,Y,N,13,1.76,3
32,Agent 3,2025-04-19,11:29:33.324729,Management,Y,Y,84,1.1,6
33,Agent 2,2025-04-19,11:36:02.348322,IT issue,Y,Y,40,10.33,4
34,Agent 1,2025-04-19,11:43:45.981637,Management,Y,N,103,1.54,1
35,Agent 3,2025-04-19,11:44:09.147605,Management,Y,Y,60,0.89,5
36,Agent 1,2025-04-19,11:51:31.749850,IT issue,Y,N,117,0.92,2
37,Agent 1,2025-04-19,11:52:56.046332,Management,Y,Y,36,5.03,9
38,Agent 2,2025-04-19,11:56:12.824365,IT issue,Y,Y,84,1.05,6
39,Agent 1,2025-04-19,12:02:29.355960,IT issue,Y,Y,31,1.42,7
40,Agent 2,2025-04-19,12:03:12.958681,Management,Y,N,58,3.97,2
41,Agent 1,2025-04-19,12:04:36.906026,Management,Y,Y,60,6.16,4
42,Agent 3,2025-04-19,12:05:36.065712,IT issue,Y,Y,46,0.76,7
43,Agent 2,2025-04-19,12:08:53.547869,IT issue,Y,Y,6,1.51,7
44,Agent 3,2025-04-19,12:09:27.916387,IT issue,Y,Y,27,0.29,10
45,Agent 1,2025-04-19,12:20:12.278224,IT issue,Y,Y,28,2.4,8
46,Agent 2,2025-04-19,12:20:57.424295,Management,Y,N,57,3.52,3
47,Agent 1,2025-04-19,12:26:03.469484,IT issue,Y,Y,98,6.71,4
48,Agent 2,2025-04-19,12:26:11.445173,IT issue,Y,Y,45,1.63,10
49,Agent 2,2025-04-19,12:29:59.330707,Management,Y,N,99,2.98,1
50,Agent 1,2025-04-19,12:43:21.479221,IT issue,Y,Y,24,3.53,8
51,Agent 1,2025-04-19,12:49:33.355851,IT issue,Y,N,21,3.75,3
52,Agent 2,2025-04-19,12:49:52.677926,Management,Y,Y,40,5.01,9
53,Agent 3,2025-04-19,12:51:10.527644,Management,Y,N,16,9.89,2
54,,2025-04-19,12:53:14.501487,IT issue,N,,,,
55,Agent 1,2025-04-19,12:55:53.750540,IT issue,Y,N,88,0.62,1
56,Agent 2,2025-04-19,12:56:24.391665,IT issue,Y,Y,36,10.97,4
57,Agent 1,2025-04-19,13:04:45.423895,Management,Y,N,17,0.49,1
58,Agent 1,2025-04-19,13:06:30.068643,Management,Y,Y,48,0.91,9
59,Agent 1,2025-04-19,13:10:36.497647,Management,Y,Y,94,2.08,4
60,Agent 2,2025-04-19,13:11:17.270507,IT issue,Y,Y,106,1.33,6
