Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of answer,Talk duration,Satisfaction rating
1,Agent 1,2025-04-19,09:04:31.516922,Management,Y,Y,56,10.01,5
2,Agent 2,2025-04-19,09:07:07.285221,IT issue,Y,Y,111,10.86,5
3,Agent 3,2025-04-19,09:11:59.368235,IT issue,Y,Y,48,3.29,7
4,Agent 1,2025-04-19,09:19:44.976389,Management,Y,Y,33,6.5,6
5,Agent 2,2025-04-19,09:20:28.476604,Management,Y,N,14,0.83,1
6,Agent 1,2025-04-19,09:40:22.843878,Management,Y,Y,28,6.63,5
7,Agent 1,2025-04-19,09:48:06.970207,Management,Y,Y,59,3.75,9
8,Agent 1,2025-04-19,09:56:23.118209,Management,Y,Y,118,2.26,4
9,Agent 1,2025-04-19,09:59:16.518093,IT issue,Y,N,15,2.36,2
10,Agent 1,2025-04-19,10:02:16.999811,IT issue,Y,N,50,3.32,2
11,Agent 2,2025-04-19,10:02:23.787491,IT issue,Y,Y,100,1.05,5
12,Agent 1,2025-04-19,10:08:38.581315,IT issue,Y,Y,79,7.17,6
13,Agent 2,2025-04-19,10:09:10.234611,Management,Y,N,52,0.98,2
14,Agent 3,2025-04-19,10:09:51.493441,Management,Y,N,17,1.23,2
15,Agent 1,2025-04-19,10:15:53.656920,IT issue,Y,N,10,1.91,3
16,Agent 1,2025-04-19,10:20:41.662301,IT issue,Y,Y,53,9.2,4
17,Agent 2,2025-04-19,10:23:19.780181,Management,Y,N,24,5.93,3
18,Agent 1,2025-04-19,10:30:06.230751,Management,Y,Y,116,9.18,5
19,Agent 2,2025-04-19,10:31:10.334782,Management,Y,Y,26,14.87,5
20,Agent 1,2025-04-19,10:39:28.786812,Management,Y,N,94,0.18,1
21,Agent 1,2025-04-19,10:43:30.169344,IT issue,Y,Y,11,4.92,10
22,Agent 1,2025-04-19,10:52:57.313720,Management,Y,Y,16,4.1,8
23,Agent 2,2025-04-19,10:53:08.807593,Management,Y,N,31,1.52,1
24,Agent 2,2025-04-19,10:56:34.817711,Management,Y,Y,63,0.35,5
25,Agent 1,2025-04-19,11:09:48.238477,IT issue,Y,N,40,1.13,1
26,Agent 1,2025-04-19,11:23:52.019964,IT issue,Y,Y,5,3.26,9
27,Agent 1,2025-04-19,11:42:34.641601,IT issue,Y,N,19,0.62,3
28,Agent 1,2025-04-19,11:44:22.258936,Management,Y,N,112,0.47,1
29,Agent 1,2025-04-19,11:47:06.853928,Management,Y,Y,73,0.85,5
30,Agent 1,2025-04-19,11:51:46.080679,IT issue,Y,Y,20,3.17,9
31,Agent 1,2025-04-19,11:59:15.001580,Management,Y,Y,82,2.2,5
32,Agent 2,2025-04-19,11:59:19.378639,IT issue,Y,Y,7,3.14,9
33,Agent 3,2025-04-19,12:00:13.952622,IT issue,Y,Y,13,0.77,7
34,Agent 1,2025-04-19,12:03:40.944358,IT issue,Y,N,113,7.32,2
35,Agent 2,2025-04-19,12:04:03.876601,Management,Y,Y,19,3.47,10
36,Agent 3,2025-04-19,12:06:00.100563,Management,Y,Y,9,1.08,10
37,,2025-04-19,12:06:18.275079,IT issue,N,,,,
38,Agent 2,2025-04-19,12:10:53.600118,Management,Y,Y,80,0.98,4
39,Agent 1,2025-04-19,12:15:58.589735,Management,Y,Y,112,4.11,6
40,Agent 1,2025-04-19,12:24:15.290397,Management,Y,Y,40,1.33,9
41,Agent 1,2025-04-19,12:31:00.795130,Management,Y,Y,47,2.92,10
42,Agent 2,2025-04-19,12:31:29.408550,Management,Y,N,82,1.19,2
43,Agent 1,2025-04-19,12:42:00.855346,IT issue,Y,Y,21,0.24,8
44,Agent 1,2025-04-19,12:47:01.571013,IT issue,Y,N,43,2.46,1
45,Agent 2,2025-04-19,12:48:52.424460,Management,Y,N,27,8.69,2
46,Agent 1,2025-04-19,12:53:19.224885,Management,Y,Y,103,8.15,5
47,Agent 2,2025-04-19,12:59:36.802018,Management,Y,Y,116,3.78,6
48,Agent 3,2025-04-19,13:00:00.663197,Management,Y,N,35,0.4,2
49,Agent 1,2025-04-19,13:02:07.726712,IT issue,Y,N,95,6.55,2
50,Agent 2,2025-04-19,13:03:58.406142,Management,Y,Y,116,0.82,4
51,Agent 2,2025-04-19,13:05:05.985355,Management,Y,N,88,1.52,1
