Call ID,Agent,Date,Time,Topic,Answered (Y/N),Resolved (Y/N),Speed of answer,Talk duration,Satisfaction rating
1,Agent 1,2025-04-19,09:14:49.415286,Management,Y,Y,86,4.64,5
2,Agent 1,2025-04-19,09:21:29.057106,IT issue,Y,Y,26,1.56,7
3,Agent 1,2025-04-19,09:27:04.221560,IT issue,Y,N,13,1.5,2
4,Agent 1,2025-04-19,09:31:59.561802,IT issue,Y,N,106,4.28,2
5,Agent 2,2025-04-19,09:35:37.448365,IT issue,Y,Y,39,2.63,10
6,Agent 1,2025-04-19,09:36:40.156733,Management,Y,Y,68,0.09,5
7,Agent 1,2025-04-19,09:57:11.722119,Management,Y,Y,42,2.73,8
8,Agent 2,2025-04-19,09:57:50.655255,Management,Y,N,115,1.9,1
9,Agent 1,2025-04-19,10:00:55.428252,IT issue,Y,N,61,0.08,2
10,Agent 1,2025-04-19,10:06:34.971376,Management,Y,Y,23,1.79,7
11,Agent 1,2025-04-19,10:23:57.289669,IT issue,Y,Y,111,0.94,4
12,Agent 1,2025-04-19,10:25:11.474770,Management,Y,Y,10,0.63,9
13,Agent 1,2025-04-19,10:36:31.307760,IT issue,Y,N,13,4.07,2
14,Agent 2,2025-04-19,10:36:59.783310,Management,Y,Y,91,2.71,6
15,Agent 3,2025-04-19,10:37:39.120353,IT issue,Y,Y,54,3.86,8
16,,2025-04-19,10:38:02.137647,Management,N,,,,
17,Agent 2,2025-04-19,10:39:47.049399,Management,Y,N,7,5.02,1
18,Agent 1,2025-04-19,10:41:47.824929,IT issue,Y,Y,12,5.21,9
19,Agent 2,2025-04-19,10:45:20.692589,IT issue,Y,Y,83,1.62,5
20,Agent 1,2025-04-19,10:55:44.793512,IT issue,Y,N,12,3.58,2
21,Agent 1,2025-04-19,11:02:52.480024,Management,Y,Y,106,0.49,5
22,Agent 1,2025-04-19,11:05:08.596186,IT issue,Y,Y,16,0.61,10
23,Agent 1,2025-04-19,11:13:39.554284,Management,Y,Y,74,7.27,6
24,Agent 2,2025-04-19,11:14:42.050986,IT issue,Y,Y,105,2.73,6
25,Agent 2,2025-04-19,11:17:54.208627,Management,Y,N,83,1.66,3
26,Agent 1,2025-04-19,11:23:45.923713,Management,Y,Y,25,0.28,8
27,Agent 1,2025-04-19,11:32:59.763665,Management,Y,Y,104,8.21,4
28,Agent 2,2025-04-19,11:38:53.827471,Management,Y,N,68,0.65,1
